EmployeeId,Position,Salary,StartDate
1,Manager,100000,2016-01-01
2,Senior,80000,2017-01-01
3,Senior,80000,2018-01-01
4,Junior,50000,2016-06-01
5,Senior,80000,2017-06-01
6,Senior,80000,2018-06-01
7,Junior,50000,2019-06-01
8,Senior,80000,2020-06-01
9,Junior,50000,2021-06-01
10,Senior,80000,2016-12-01
11,Junior,50000,2017-12-01
12,Senior,80000,2018-12-01
13,Junior,50000,2019-12-01
14,Senior,80000,2020-12-01
15,Junior,50000,2021-12-01
16,Senior,80000,2016-09-01
17,Junior,50000,2017-09-01
18,Senior,80000,2018-09-01
19,Junior,50000,2019-09-01
20,Senior,120000,2020-09-01
